Source,Source Plate Barcode,Source Well,Destination,Destination Plate Barcode,Destination Well,Transfer Volume,Concentration,Reagent ID,Printing ID,Layer,Updated At,Printed At,REC ID
IB-genoCRISPR-stdv1.csv,None,A24,plate1,plate1,B02,320,20,C337,None,disease,2019-11-17 09:42:13.744057,None,REC-SGRNA-000264
IB-genoCRISPR-stdv1.csv,None,B07,plate1,plate1,B03,320,20,C296,None,disease,2019-11-17 09:42:13.745824,None,REC-SGRNA-000218
IB-genoCRISPR-stdv1.csv,None,B06,plate1,plate1,B04,40,20,C292,None,disease,2019-11-17 09:42:13.714342,None,REC-SGRNA-000214
IB-genoCRISPR-stdv1.csv,None,A10,plate1,plate1,B06,240,20,C101,None,disease,2019-11-17 09:42:13.733545,None,REC-SGRNA-000003
IB-genoCRISPR-stdv1.csv,None,B09,plate1,plate1,B07,400,20,C299,None,disease,2019-11-17 09:42:13.753854,None,REC-SGRNA-000221
IB-genoCRISPR-stdv1.csv,None,A08,plate1,plate1,B08,320,20,C463,None,disease,2019-11-17 09:42:13.740737,None,REC-SGRNA-06773
IB-genoCRISPR-stdv1.csv,None,A24,plate1,plate1,B09,240,20,C337,None,disease,2019-11-17 09:42:13.736377,None,REC-SGRNA-000264
IB-genoCRISPR-stdv1.csv,None,B06,plate1,plate1,B12,240,20,C292,None,disease,2019-11-17 09:42:13.737623,None,REC-SGRNA-000214
IB-genoCRISPR-stdv1.csv,None,A20,plate1,plate1,B13,160,20,C476,None,disease,2019-11-17 09:42:13.727918,None,REC-SGRNA-06927
IB-genoCRISPR-stdv1.csv,None,A11,plate1,plate1,B15,400,20,C102,None,disease,2019-11-17 09:42:13.749416,None,REC-SGRNA-000004
IB-genoCRISPR-stdv1.csv,None,A14,plate1,plate1,B16,80,20,C488,None,disease,2019-11-17 09:42:13.718717,None,REC-SGRNA-06936
IB-genoCRISPR-stdv1.csv,None,A19,plate1,plate1,B18,40,20,C475,None,disease,2019-11-17 09:42:13.712029,None,REC-SGRNA-06926
IB-genoCRISPR-stdv1.csv,None,A11,plate1,plate1,B19,240,20,C102,None,disease,2019-11-17 09:42:13.733752,None,REC-SGRNA-000004
IB-genoCRISPR-stdv1.csv,None,B04,plate1,plate1,B20,80,20,C290,None,disease,2019-11-17 09:42:13.721625,None,REC-SGRNA-000212
IB-genoCRISPR-stdv1.csv,None,A20,plate1,plate1,B23,400,20,C476,None,disease,2019-11-17 09:42:13.751160,None,REC-SGRNA-06927
IB-genoCRISPR-stdv1.csv,None,B10,plate1,plate1,B24,40,20,C603,None,disease,2019-11-17 09:42:13.715248,None,REC-SGRNA-07025
IB-genoCRISPR-stdv1.csv,None,A19,plate1,plate1,B26,40,20,C475,None,disease,2019-11-17 09:42:13.712112,None,REC-SGRNA-06926
IB-genoCRISPR-stdv1.csv,None,A06,plate1,plate1,B27,160,20,C304,None,disease,2019-11-17 09:42:13.724870,None,REC-SGRNA-000228
IB-genoCRISPR-stdv1.csv,None,B12,plate1,plate1,B28,240,20,C605,None,disease,2019-11-17 09:42:13.738969,None,REC-SGRNA-07027
IB-genoCRISPR-stdv1.csv,None,A02,plate1,plate1,B29,400,20,C108,None,disease,2019-11-17 09:42:13.747527,None,REC-SGRNA-000010
IB-genoCRISPR-stdv1.csv,None,B05,plate1,plate1,B30,320,20,C291,None,disease,2019-11-17 09:42:13.745203,None,REC-SGRNA-000213
IB-genoCRISPR-stdv1.csv,None,A12,plate1,plate1,B31,160,20,C502,None,disease,2019-11-17 09:42:13.726162,None,REC-SGRNA-06947
IB-genoCRISPR-stdv1.csv,None,A11,plate1,plate1,B37,240,20,C102,None,disease,2019-11-17 09:42:13.733668,None,REC-SGRNA-000004
IB-genoCRISPR-stdv1.csv,None,A14,plate1,plate1,B38,160,20,C488,None,disease,2019-11-17 09:42:13.726606,None,REC-SGRNA-06936
