address,reagent_id,reagent_label,reagent_batch_name,rec_id,concentration,concentration_units
A01,C107,C107,,REC-SGRNA-000009,20,uM
A02,C108,C108,,REC-SGRNA-000010,20,uM
A03,C109,C109,,REC-SGRNA-000011,20,uM
A04,C302,C302,,REC-SGRNA-000226,20,uM
A05,C303,C303,,REC-SGRNA-000227,20,uM
A06,C304,C304,,REC-SGRNA-000228,20,uM
A07,C462,C462,,REC-SGRNA-06772,20,uM
A08,C463,C463,,REC-SGRNA-06773,20,uM
A09,C464,C464,,REC-SGRNA-06919,20,uM
A10,C101,C101,,REC-SGRNA-000003,20,uM
A11,C102,C102,,REC-SGRNA-000004,20,uM
A12,C502,C502,,REC-SGRNA-06947,20,uM
A13,C487,C487,,REC-SGRNA-06935,20,uM
A14,C488,C488,,REC-SGRNA-06936,20,uM
A15,C489,C489,,REC-SGRNA-06937,20,uM
A16,C534,C534,,REC-SGRNA-06975,20,uM
A17,C535,C535,,REC-SGRNA-06976,20,uM
A18,C536,C536,,REC-SGRNA-06786,20,uM
A19,C475,C475,,REC-SGRNA-06926,20,uM
A20,C476,C476,,REC-SGRNA-06927,20,uM
A21,C477,C477,,REC-SGRNA-06761,20,uM
A22,C335,C335,,REC-SGRNA-000262,20,uM
A23,C336,C336,,REC-SGRNA-000263,20,uM
A24,C337,C337,,REC-SGRNA-000264,20,uM
B01,C271,C271,,REC-SGRNA-000191,20,uM
B02,C272,C272,,REC-SGRNA-000192,20,uM
B03,C273,C273,,REC-SGRNA-000193,20,uM
B04,C290,C290,,REC-SGRNA-000212,20,uM
B05,C291,C291,,REC-SGRNA-000213,20,uM
B06,C292,C292,,REC-SGRNA-000214,20,uM
B07,C296,C296,,REC-SGRNA-000218,20,uM
B08,C297,C297,,REC-SGRNA-000219,20,uM
B09,C299,C299,,REC-SGRNA-000221,20,uM
B10,C603,C603,,REC-SGRNA-07025,20,uM
B11,C604,C604,,REC-SGRNA-07026,20,uM
B12,C605,C605,,REC-SGRNA-07027,20,uM
B13,C107-duplex,C107-duplex,,REC-SGRNA-000009,20,uM
B14,C108-duplex,C108-duplex,,REC-SGRNA-000010,20,uM
B15,C109-duplex,C109-duplex,,REC-SGRNA-000011,20,uM
B16,C302-duplex,C302-duplex,,REC-SGRNA-000226,20,uM
B17,C303-duplex,C303-duplex,,REC-SGRNA-000227,20,uM
B18,C304-duplex,C304-duplex,,REC-SGRNA-000228,20,uM
B19,C462-duplex,C462-duplex,,REC-SGRNA-06772,20,uM
B20,C463-duplex,C463-duplex,,REC-SGRNA-06773,20,uM
B21,C464-duplex,C464-duplex,,REC-SGRNA-06919,20,uM
B22,C101-duplex,C101-duplex,,REC-SGRNA-000003,20,uM
B23,C102-duplex,C102-duplex,,REC-SGRNA-000004,20,uM
B24,C502-duplex,C502-duplex,,REC-SGRNA-06947,20,uM
C01,C487-duplex,C487-duplex,,REC-SGRNA-06935,20,uM
C02,C488-duplex,C488-duplex,,REC-SGRNA-06936,20,uM
C03,C489-duplex,C489-duplex,,REC-SGRNA-06937,20,uM
C04,C534-duplex,C534-duplex,,REC-SGRNA-06975,20,uM
C05,C535-duplex,C535-duplex,,REC-SGRNA-06976,20,uM
C06,C536-duplex,C536-duplex,,REC-SGRNA-06786,20,uM
C07,C475-duplex,C475-duplex,,REC-SGRNA-06926,20,uM
C08,C476-duplex,C476-duplex,,REC-SGRNA-06927,20,uM
C09,C477-duplex,C477-duplex,,REC-SGRNA-06761,20,uM
C10,C335-duplex,C335-duplex,,REC-SGRNA-000262,20,uM
C11,C336-duplex,C336-duplex,,REC-SGRNA-000263,20,uM
C12,C337-duplex,C337-duplex,,REC-SGRNA-000264,20,uM
C13,C271-duplex,C271-duplex,,REC-SGRNA-000191,20,uM
C14,C272-duplex,C272-duplex,,REC-SGRNA-000192,20,uM
C15,C273-duplex,C273-duplex,,REC-SGRNA-000193,20,uM
C16,C290-duplex,C290-duplex,,REC-SGRNA-000212,20,uM
C17,C291-duplex,C291-duplex,,REC-SGRNA-000213,20,uM
C18,C292-duplex,C292-duplex,,REC-SGRNA-000214,20,uM
C19,C296-duplex,C296-duplex,,REC-SGRNA-000218,20,uM
C20,C297-duplex,C297-duplex,,REC-SGRNA-000219,20,uM
C21,C299-duplex,C299-duplex,,REC-SGRNA-000221,20,uM
C22,C603-duplex,C603-duplex,,REC-SGRNA-07025,20,uM
C23,C604-duplex,C604-duplex,,REC-SGRNA-07026,20,uM
C24,C605-duplex,C605-duplex,,REC-SGRNA-07027,20,uM
D01,C107-RNP,C107-RNP,,REC-SGRNA-000009,20,uM
D02,C108-RNP,C108-RNP,,REC-SGRNA-000010,20,uM
D03,C109-RNP,C109-RNP,,REC-SGRNA-000011,20,uM
D04,C302-RNP,C302-RNP,,REC-SGRNA-000226,20,uM
D05,C303-RNP,C303-RNP,,REC-SGRNA-000227,20,uM
D06,C304-RNP,C304-RNP,,REC-SGRNA-000228,20,uM
D07,C462-RNP,C462-RNP,,REC-SGRNA-06772,20,uM
D08,C463-RNP,C463-RNP,,REC-SGRNA-06773,20,uM
D09,C464-RNP,C464-RNP,,REC-SGRNA-06919,20,uM
D10,C101-RNP,C101-RNP,,REC-SGRNA-000003,20,uM
D11,C102-RNP,C102-RNP,,REC-SGRNA-000004,20,uM
D12,C502-RNP,C502-RNP,,REC-SGRNA-06947,20,uM
D13,C487-RNP,C487-RNP,,REC-SGRNA-06935,20,uM
D14,C488-RNP,C488-RNP,,REC-SGRNA-06936,20,uM
D15,C489-RNP,C489-RNP,,REC-SGRNA-06937,20,uM
D16,C534-RNP,C534-RNP,,REC-SGRNA-06975,20,uM
D17,C535-RNP,C535-RNP,,REC-SGRNA-06976,20,uM
D18,C536-RNP,C536-RNP,,REC-SGRNA-06786,20,uM
D19,C475-RNP,C475-RNP,,REC-SGRNA-06926,20,uM
D20,C476-RNP,C476-RNP,,REC-SGRNA-06927,20,uM
D21,C477-RNP,C477-RNP,,REC-SGRNA-06761,20,uM
D22,C335-RNP,C335-RNP,,REC-SGRNA-000262,20,uM
D23,C336-RNP,C336-RNP,,REC-SGRNA-000263,20,uM
D24,C337-RNP,C337-RNP,,REC-SGRNA-000264,20,uM
E01,C271-RNP,C271-RNP,,REC-SGRNA-000191,20,uM
E02,C272-RNP,C272-RNP,,REC-SGRNA-000192,20,uM
E03,C273-RNP,C273-RNP,,REC-SGRNA-000193,20,uM
E04,C290-RNP,C290-RNP,,REC-SGRNA-000212,20,uM
E05,C291-RNP,C291-RNP,,REC-SGRNA-000213,20,uM
E06,C292-RNP,C292-RNP,,REC-SGRNA-000214,20,uM
E07,C296-RNP,C296-RNP,,REC-SGRNA-000218,20,uM
E08,C297-RNP,C297-RNP,,REC-SGRNA-000219,20,uM
E09,C299-RNP,C299-RNP,,REC-SGRNA-000221,20,uM
E10,C603-RNP,C603-RNP,,REC-SGRNA-07025,20,uM
E11,C604-RNP,C604-RNP,,REC-SGRNA-07026,20,uM
E12,C605-RNP,C605-RNP,,REC-SGRNA-07027,20,uM
